Player,Team,RAPM over replacement,Possesions,Net Points,Wins Added,Production Value (Millions),AAV,Net Value
Jalen Johnson,ATL,4.5,5390,242.55,7.463076923,28.35969231,30,-1.640307692
Nickeil Alexander-Walker,ATL,4.8,5558,266.784,8.208738462,31.19320615,15.16,16.03320615
Dyson Daniels,ATL,6.4,5304,339.456,10.4448,39.69024,7.71,31.98024
Onyeka Okongwu,ATL,3.4,4900,166.6,5.126153846,19.47938462,15,4.479384615
CJ McCollum,ATL,4.1,4777,195.857,6.026369231,22.90020308,30.67,-7.769796923
Zaccharie Risacher,ATL,-0.4,3218,-12.872,-0.3960615385,-1.505033846,13.18,-14.68503385
Jonathan Kuminga,ATL,4.4,1729,76.076,2.3408,8.89504,23.8,-14.90496
Jock Landale,ATL,1,3116,31.16,0.9587692308,3.643323077,2.3,1.343323077
Corey Kispert,ATL,0.9,2287,20.583,0.6333230769,2.406627692,13.98,-11.57337231
Mo Gueye,ATL,4.6,2411,110.906,3.412492308,12.96747077,2.22,10.74747077
Jaylen Brown,BOS,3.2,4905,156.96,4.829538462,18.35224615,53.14,-34.78775385
Derrick White,BOS,7.4,5176,383.024,11.78535385,44.78434462,28.1,16.68434462
Jayson Tatum,BOS,5.1,1047,53.397,1.642984615,6.243341538,54.13,-47.88665846
Payton Pritchard,BOS,4.5,5025,226.125,6.957692308,26.43923077,7.23,19.20923077
Neemias Queta,BOS,6,3740,224.4,6.904615385,26.23753846,2.35,23.88753846
Sam Hauser,BOS,4.7,3837,180.339,5.548892308,21.08579077,10.04,11.04579077
Nikola Vucevic,BOS,3.9,3789,147.771,4.5468,17.27784,21.48,-4.20216
Baylor Scheierman,BOS,2.7,2799,75.573,2.325323077,8.836227692,2.62,6.216227692
Jordan Walsh,BOS,2,2336,46.72,1.437538462,5.462646154,2.22,3.242646154
Luka Garza,BOS,3.4,2215,75.31,2.317230769,8.805476923,2.46,6.345476923
Michael Porter Jr,BKN,3.2,3393,108.576,3.3408,12.69504,38.33,-25.63496
Nic Claxton,BKN,-1.2,3854,-46.248,-1.423015385,-5.407458462,25.54,-30.94745846
Noah Clowney,BKN,-0.1,3578,-3.578,-0.1100923077,-0.4183507692,3.4,-3.818350769
Egor Demin,BKN,3.6,2650,95.4,2.935384615,11.15446154,6.89,4.264461538
Terance Mann,BKN,1.4,3064,42.896,1.319876923,5.015532308,15.5,-10.48446769
Malachi Smith,BKN,1.5,737,11.055,0.3401538462,1.292584615,0.07,1.222584615
Ziaire Williams,BKN,0.7,2620,18.34,0.5643076923,2.144369231,6.25,-4.105630769
Nolan Traore,BKN,1.1,2484,27.324,0.8407384615,3.194806154,3.81,-0.6151938462
Drake Powell,BKN,-2.2,2637,-58.014,-1.785046154,-6.783175385,3.37,-10.15317538
Danny Wolf,BKN,1.1,2367,26.037,0.8011384615,3.044326154,2.8,0.2443261538
Kon Knueppel,CHA,5,5206,260.3,8.009230769,30.43507692,10.02,20.41507692
Miles Bridges,CHA,2.4,4815,115.56,3.555692308,13.51163077,25,-11.48836923
Brandon Miller,CHA,5.1,3983,203.133,6.250246154,23.75093538,11.97,11.78093538
LaMelo Ball,CHA,4.6,4127,189.842,5.841292308,22.19691077,37.96,-15.76308923
Moussa Diabate,CHA,7.1,3757,266.747,8.2076,31.18888,2.27,28.91888
Sion James,CHA,4.1,3662,150.142,4.619753846,17.55506462,2.3,15.25506462
